id,anio,trimestre,mes,no_registro,tipo_deuda,detalle_tipo_deuda,acreedor,concepto,inicio_credito,fin_credito,dias_contrato,dias_restantes_contrato,disposicion_inicial_credito,colocacion_periodo,amortizaciones_periodo,intereses_periodo,pago_servicio_deuda,saldo_periodo,endeudamiento_periodo,tasa,sobretasa,tasa_final
30,2018,4,Diciembre,P09-1012161,Largo Plazo,Bonos Cup贸n Cero,BANOBRAS,BANOBRAS 196,07/11/13,25/11/32,6958,5078,196783977,0,0,17118566.15,17118566.15,196783977,0,7.7,0.88,8.58
31,2018,4,Diciembre,P09-1112186,Largo Plazo,Mercado de Capitales,EVERCORE,BONO GDFECB 12,30/11/12,12/11/27,5460,3238,2500000000,0,0,173152777.8,173152777.8,2500000000,0,6.85,,6.85
32,2018,4,Diciembre,P09-1118104,Largo Plazo,Mercado de Capitales,EVERCORE,BONO GCDMXCB 18V,21/11/18,08/11/28,3640,3600,1100000000,1100000000,0,0,55221833.33,1100000000,1100000000,9.93,,9.93
33,2018,4,Diciembre,P09-1212219,Largo Plazo,Banca de Desarrollo,BANOBRAS,"BANOBRAS 1,954",28/12/12,25/11/27,5445,3251,1954226708,0,140423476.1,92628369.66,233051845.7,1252109328,-140423476.1,5.97,0.91,6.88
34,2018,4,Diciembre,P09-1212219,Largo Plazo,Banca de Desarrollo,BANOBRAS,BANOBRAS 145,31/12/12,25/11/27,5442,3251,145773291.7,0,10474727.52,6899463.73,17374191.25,93399654.14,-10474727.52,5.96,0.91,6.87
35,2018,4,Diciembre,P09-1214244,Largo Plazo,Banca de Desarrollo,BANOBRAS,"BANOBRAS 1,949",31/12/14,26/11/29,5444,3983,1949386371,0,150920235.2,145459606.2,296379841.4,1647545901,-150920235.2,TIIE,0.36,TIIE+0.36
36,2018,4,Diciembre,P09-1215162,Largo Plazo,Banca de Desarrollo,BANOBRAS,"BANOBRAS 1,000",29/12/15,26/12/25,3650,2552,1000000000,0,55555555.56,74581229.21,130136784.8,851069383.6,-55555555.56,TIIE,0.41,TIIE+0.41
37,2018,4,Diciembre,P09-1218138,Largo Plazo,Banca Comercial,SANTANDER,"SANTANDER 2,400",31/12/18,26/12/28,3648,3648,2400000000,2400000000,0,0,0,2400000000,2400000000,9.55,,9.55
38,2018,4,Diciembre,P09-1218139,Largo Plazo,Banca Comercial,HSBC,"HSBC 1,170",31/12/18,26/12/28,3648,3648,1170915400,1170915400,0,0,0,1170915400,1170915400,9.67,,9.67
39,2019,1,Marzo,226/2007,Largo Plazo,Banca Comercial,BANCOMER,"BANCOMER 4,700",31/08/07,27/07/37,10923,6693,4700000000,0,5701204.94,101086617.8,106787822.7,4600748884,-5701204.94,8.8,,8.8
